DESCRIÇÃO,QTDE ,VLR TOT
CAMA THAI MADEIRA,40,4000
PUFE THAI MADEIRA  1x1,32,2560
SOFÁ MADEIRA,17,2120
RECAMIER MADEIRA,10,1120
FUTTONS COR CLARA C / 2  FUTTONS,5,370
CILINDRO PARA BOLO 60 DIÂMETRO  80 ALT,3,360
"BANCO MADEIRA 1,80X60",5,350
TOTEM 40x40,8,300
"MESA COM TAMPO VIDRO 2,20x80 COM PÉS",1,160
