FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
ROSA ANTIGO,1306,1326
BRANCO,1244,1244
OFF WHITE,1038,1038
PRETO,567,567
BEGE,456,446
AZUL MARINHO,325,325
BORDÔ,227,257.5
FENDI,245,245
VINHO,200,200
AZUL CELESTE,148,148
AZUL TIFFANY,140,140
MARROM,135,135
VERDE OLIVA,120,120
CORES,100,100
ROSA PINK,75,75
VERDE MUSGO,41,41
AMARELO,30,30
