FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
BEGE,18,1690
BRANCO,15,1420
FENDI,14,1420
PRETO,13,1040
AZUL CELESTE,6,480
VERDE MUSGO,6,480
OFF WHITE,4,420
CORES,4,400
"VERDE BANDEIRA, PINK, AZUL, VERDE BANDEIRA",4,400
PINK,3,380
VERMELHO,4,380
BORDÔ,4,320
CORAL,3,320
AZUL ROYAL,3,240
CAFÉ COM LEITE,2,240
VERDE,2,240
VERDE FOLHA,2,240
BRANCA,2,200
LARANJA,2,200
ROYAL,2,200
"AMARELO, PRETO",2,160
"LARANJA, PINK",2,160
BRANCO ENVELHECIDO,2,155
ROSA ANTIGO,1,120
ROXO,1,35
