FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
BEGE,2053,8147
BRANCO,519,2076
CORES,320,1280
AZUL MARINHO,120,480
PRETO,110,465
ROSA BÊBE,42,168
OFF WHITE,35,140
FENDI,25,100
