FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
PRETO,1231,10735
BEGE,708,4410
BRANCO,184,1680
MARROM,162,1550
CORES,92,1540
VERMELHO,103,715
AZUL CELESTE,108,540
NEON,60,540
ROSA ANTIGO,78,470
FENDI,37,285
AZUL MARINHO,36,260
VERDE  BANDEIRA,44,220
LARANJA,8,200
ROSA BÊBE,5,175
OFF WHITE,24,120
NEON CORES VARIADAS,22,110
AZUL ROYAL,20,100
BORDÔ,4,100
ROSA CHICLETE,4,100
ROSA PINK,4,100
VERDE BANDEIRA/ROSA PINK/AZUL CELESTE/LARANJA,16,80
AZUL TIFFANY,6,70
"PRETO, PINK, AZUL ROYAL",12,60
