DESCRIÇÃO,QTDE ,VLR TOT
MESA LUIX XV DOURADA GRANDE  2x90,4,760
"MESA MADEIRA BRANCA  OVAL COM TAMPO MARROM 1,80",3,450
"MESA REDONDA DOURADA 1,20 DE DIAMETRO PÉ TORNAEDO",2,320
"MESA LUIS  XV OURO ROSÊ   1,80x1",1,180
MESA  COM TAMPO MADEIRA RODA FERRO,1,150
"MESA FERRO COM RODAS 1,50",1,150
CARRINHO  2 PRATELEIRAS,1,140
"MESA LUIS XV  BAIXA  1,80",1,100
