DESCRIÇÃO,QTDE ,VLR TOT
POLTRONA MEDALHÃO BRANCA,17,850
POLTRONA MASTER BRANCA,8,700
"MESA CLÁSSICA REDONDA 1,30M PÉ MACIÇO",3,470
CADEIRA LUIS XV BRANCA COM BRAÇOS,9,450
POLTRONA LUIS XV TABACO,6,420
CADEIRA MEDALHÃO BRANCA COM BRAÇOS,6,300
CADEIRA TIFFANY ASSENTO BRANCO,28,280
CADEIRA LUIS XV BRANCA SEM BRAÇOS,10,240
CADEIRA MEDALHÃO BRANCA SEM BRAÇOS,6,180
MESA CENTRO CLÁSSICA BRANCA,1,50
