DESCRIÇÃO,QTDE ,VLR TOT
BANQUETA ALTA FERRO BRONZE,1349,6735
BISTRÔ ALTO FERRO BRONZE,213,5415
BANQUETA ALTA FERRO PRETO,995,5195
BISTRÔ ALTO FERRO PRETO,134,3350
BISTRÔ BAIXO FERRO PRETO,38,950
BANQUETA ALTA FERRO BRANCA,173,865
BISTRÔ ALTO FERRO BRANCO,28,700
BISTRÔ BAIXO FERRO BRANCO,20,500
BISTRÔ BAIXO FERRO BRONZE,18,450
