FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
PRETO,62,6570
LARANJA,11,1880
AZUL MARINHO,9,1205
BEGE,9,1000
CORES,10,675
VERDE,4,440
ROSA ANTIGO,2,430
ROSA BEBÊ,1,400
FENDI,2,360
AZUL ROYAL,1,350
,1,300
MARROM,4,280
CAFÉ COM LEITE,3,270
CORAL,2,200
OFF WHITE,5,175
AZUL,2,140
REF 250,1,140
VERMELHO,2,140
CINZA,1,80
AMARELO,1,70
ROSA CHICLETE,1,70
ROSA PINK,1,70
VOIAL,1,0
